N; Num_threads; tt1_seq [ms]; tt1_para [ms]; tt2_seq [ms]; tt2_para [ms]
10000000;9;4.231104;4.708544;71.873168;24.367452
N; Num_threads; tt1_seq [ms]; tt1_para [ms]; tt2_seq [ms]; tt2_para [ms]
10000000;10;4.834882;5.257959;95.932719;24.206236
N; Num_threads; tt1_seq [ms]; tt1_para [ms]; tt2_seq [ms]; tt2_para [ms]
10000000;11;5.096249;5.092526;69.302039;28.701188
N; Num_threads; tt1_seq [ms]; tt1_para [ms]; tt2_seq [ms]; tt2_para [ms]
10000000;12;5.101565;5.582599;85.120517;23.644780
N; Num_threads; tt1_seq [ms]; tt1_para [ms]; tt2_seq [ms]; tt2_para [ms]
10000000;13;4.404334;5.619601;101.467221;24.916758
N; Num_threads; tt1_seq [ms]; tt1_para [ms]; tt2_seq [ms]; tt2_para [ms]
10000000;14;4.907675;5.235382;67.712029;22.159068
N; Num_threads; tt1_seq [ms]; tt1_para [ms]; tt2_seq [ms]; tt2_para [ms]
10000000;15;5.912562;5.412220;64.173503;24.657270
N; Num_threads; tt1_seq [ms]; tt1_para [ms]; tt2_seq [ms]; tt2_para [ms]
10000000;16;4.402880;5.475939;62.800280;23.948511
N; Num_threads; tt1_seq [ms]; tt1_para [ms]; tt2_seq [ms]; tt2_para [ms]
100000000;2;108.008980;43.623362;662.148803;497.982749
N; Num_threads; tt1_seq [ms]; tt1_para [ms]; tt2_seq [ms]; tt2_para [ms]
100000000;3;48.672890;52.314621;636.857046;332.405694
N; Num_threads; tt1_seq [ms]; tt1_para [ms]; tt2_seq [ms]; tt2_para [ms]
100000000;4;54.117823;45.003389;633.237253;312.328872
N; Num_threads; tt1_seq [ms]; tt1_para [ms]; tt2_seq [ms]; tt2_para [ms]
100000000;5;66.234621;60.643216;769.268044;265.017563
N; Num_threads; tt1_seq [ms]; tt1_para [ms]; tt2_seq [ms]; tt2_para [ms]
100000000;6;44.135499;55.300072;786.956869;254.571036
N; Num_threads; tt1_seq [ms]; tt1_para [ms]; tt2_seq [ms]; tt2_para [ms]
100000000;7;57.238553;56.960188;821.495369;243.464354
N; Num_threads; tt1_seq [ms]; tt1_para [ms]; tt2_seq [ms]; tt2_para [ms]
100000000;8;50.403142;65.353065;634.158513;228.865285
N; Num_threads; tt1_seq [ms]; tt1_para [ms]; tt2_seq [ms]; tt2_para [ms]
100000000;9;46.709922;49.985530;760.863790;347.888318
N; Num_threads; tt1_seq [ms]; tt1_para [ms]; tt2_seq [ms]; tt2_para [ms]
100000000;10;62.435041;54.886658;930.799876;233.768917
N; Num_threads; tt1_seq [ms]; tt1_para [ms]; tt2_seq [ms]; tt2_para [ms]
100000000;11;48.262549;48.777148;710.488985;268.488641
N; Num_threads; tt1_seq [ms]; tt1_para [ms]; tt2_seq [ms]; tt2_para [ms]
100000000;12;55.721722;54.419919;785.377174;234.745151
N; Num_threads; tt1_seq [ms]; tt1_para [ms]; tt2_seq [ms]; tt2_para [ms]
100000000;13;56.465208;47.912665;711.743317;230.170885
N; Num_threads; tt1_seq [ms]; tt1_para [ms]; tt2_seq [ms]; tt2_para [ms]
100000000;14;47.570631;48.028990;686.120923;226.013270
N; Num_threads; tt1_seq [ms]; tt1_para [ms]; tt2_seq [ms]; tt2_para [ms]
100000000;15;48.154639;47.739286;736.783143;224.801102
N; Num_threads; tt1_seq [ms]; tt1_para [ms]; tt2_seq [ms]; tt2_para [ms]
100000000;16;47.697445;52.050993;737.652904;245.734758
